movie_title;imdb_id;title_year;duration;imdb_score;num_voted_users;director_name;actor_1_name;actor_2_name;actor_3_name;country;language;content_rating;genre_1;genre_2;genre_3;budget;gross;movie_facebook_likes;decade;profit;roi_pct;categorie_note
Avatar ;tt0499549;2009;178;7,9;886204;James Cameron;CCH Pounder;Joel David Moore;Wes Studi;USA;English;PG-13;Action;Adventure;Fantasy;237000000,0;760505847,0;33000;2000;523505847,0;220,9;Bon (7-8)
Pirates of the Caribbean: At World's End ;tt0449088;2007;169;7,1;471220;Gore Verbinski;Johnny Depp;Orlando Bloom;Jack Davenport;USA;English;PG-13;Action;Adventure;Fantasy;300000000,0;309404152,0;0;2000;9404152,0;3,1;Bon (7-8)
Spectre ;tt2379713;2015;148;6,8;275868;Sam Mendes;Christoph Waltz;Rory Kinnear;Stephanie Sigman;UK;English;PG-13;Action;Adventure;Thriller;245000000,0;200074175,0;85000;2010;-44925825,0;-18,3;Moyen (6-7)
The Dark Knight Rises ;tt1345836;2012;164;8,5;1144337;Christopher Nolan;Tom Hardy;Christian Bale;Joseph Gordon-Levitt;USA;English;PG-13;Action;Thriller;;250000000,0;448130642,0;164000;2010;198130642,0;79,3;Excellent (8+)
John Carter ;tt0401729;2012;132;6,6;212204;Andrew Stanton;Daryl Sabara;Samantha Morton;Polly Walker;USA;English;PG-13;Action;Adventure;Sci-Fi;263700000,0;73058679,0;24000;2010;-190641321,0;-72,3;Moyen (6-7)
Spider-Man 3 ;tt0413300;2007;156;6,2;383056;Sam Raimi;J.K. Simmons;James Franco;Kirsten Dunst;USA;English;PG-13;Action;Adventure;Romance;258000000,0;336530303,0;0;2000;78530303,0;30,4;Moyen (6-7)
Tangled ;tt0398286;2010;100;7,8;294810;Nathan Greno;Brad Garrett;Donna Murphy;M.C. Gainey;USA;English;PG;Adventure;Animation;Comedy;260000000,0;200807262,0;29000;2010;-59192738,0;-22,8;Bon (7-8)
Avengers: Age of Ultron ;tt2395427;2015;141;7,5;462669;Joss Whedon;Chris Hemsworth;Robert Downey Jr.;Scarlett Johansson;USA;English;PG-13;Action;Adventure;Sci-Fi;250000000,0;458991599,0;118000;2010;208991599,0;83,6;Bon (7-8)
Harry Potter and the Half-Blood Prince ;tt0417741;2009;153;7,5;321795;David Yates;Alan Rickman;Daniel Radcliffe;Rupert Grint;UK;English;PG;Adventure;Family;Fantasy;250000000,0;301956980,0;10000;2000;51956980,0;20,8;Bon (7-8)
Batman v Superman: Dawn of Justice ;tt2975590;2016;183;6,9;371639;Zack Snyder;Henry Cavill;Lauren Cohan;Alan D. Purwin;USA;English;PG-13;Action;Adventure;Sci-Fi;250000000,0;330249062,0;197000;2010;80249062,0;32,1;Moyen (6-7)
Superman Returns ;tt0348150;2006;169;6,1;240396;Bryan Singer;Kevin Spacey;Marlon Brando;Frank Langella;USA;English;PG-13;Action;Adventure;Sci-Fi;209000000,0;200069408,0;0;2000;-8930592,0;-4,3;Moyen (6-7)
Quantum of Solace ;tt0830515;2008;106;6,7;330784;Marc Forster;Giancarlo Giannini;Mathieu Amalric;Rory Kinnear;UK;English;PG-13;Action;Adventure;;200000000,0;168368427,0;0;2000;-31631573,0;-15,8;Moyen (6-7)
Pirates of the Caribbean: Dead Man's Chest ;tt0383574;2006;151;7,3;522040;Gore Verbinski;Johnny Depp;Orlando Bloom;Jack Davenport;USA;English;PG-13;Action;Adventure;Fantasy;225000000,0;423032628,0;5000;2000;198032628,0;88,0;Bon (7-8)
The Lone Ranger ;tt1210819;2013;150;6,5;181792;Gore Verbinski;Johnny Depp;Ruth Wilson;Tom Wilkinson;USA;English;PG-13;Action;Adventure;Western;215000000,0;89289910,0;48000;2010;-125710090,0;-58,5;Moyen (6-7)
Man of Steel ;tt0770828;2013;143;7,2;548573;Zack Snyder;Henry Cavill;Christopher Meloni;Harry Lennix;USA;English;PG-13;Action;Adventure;Fantasy;225000000,0;291021565,0;118000;2010;66021565,0;29,3;Bon (7-8)
The Chronicles of Narnia: Prince Caspian ;tt0499448;2008;150;6,6;149922;Andrew Adamson;Peter Dinklage;Pierfrancesco Favino;Damián Alcázar;USA;English;PG;Action;Adventure;Family;225000000,0;141614023,0;0;2000;-83385977,0;-37,1;Moyen (6-7)
The Avengers ;tt0848228;2012;173;8,1;995415;Joss Whedon;Chris Hemsworth;Robert Downey Jr.;Scarlett Johansson;USA;English;PG-13;Action;Adventure;Sci-Fi;220000000,0;623279547,0;123000;2010;403279547,0;183,3;Excellent (8+)
Pirates of the Caribbean: On Stranger Tides ;tt1298650;2011;136;6,7;370704;Rob Marshall;Johnny Depp;Sam Claflin;Stephen Graham;USA;English;PG-13;Action;Adventure;Fantasy;250000000,0;241063875,0;58000;2010;-8936125,0;-3,6;Moyen (6-7)
Men in Black 3 ;tt1409024;2012;106;6,8;268154;Barry Sonnenfeld;Will Smith;Michael Stuhlbarg;Nicole Scherzinger;USA;English;PG-13;Action;Adventure;Comedy;225000000,0;179020854,0;40000;2010;-45979146,0;-20,4;Moyen (6-7)
The Hobbit: The Battle of the Five Armies ;tt2310332;2014;164;7,5;354228;Peter Jackson;Aidan Turner;Adam Brown;James Nesbitt;New Zealand;English;PG-13;Adventure;Fantasy;;250000000,0;255108370,0;65000;2010;5108370,0;2,0;Bon (7-8)
The Amazing Spider-Man ;tt0948470;2012;153;7,0;451803;Marc Webb;Emma Stone;Andrew Garfield;Chris Zylka;USA;English;PG-13;Action;Adventure;Fantasy;230000000,0;262030663,0;56000;2010;32030663,0;13,9;Bon (7-8)
Robin Hood ;tt0955308;2010;156;6,7;211765;Ridley Scott;Mark Addy;William Hurt;Scott Grimes;USA;English;PG-13;Action;Adventure;Drama;200000000,0;105219735,0;17000;2010;-94780265,0;-47,4;Moyen (6-7)
The Hobbit: The Desolation of Smaug ;tt1170358;2013;186;7,9;483540;Peter Jackson;Aidan Turner;Adam Brown;James Nesbitt;USA;English;PG-13;Adventure;Fantasy;;225000000,0;258355354,0;83000;2010;33355354,0;14,8;Bon (7-8)
The Golden Compass ;tt0385752;2007;113;6,1;149019;Chris Weitz;Christopher Lee;Eva Green;Kristin Scott Thomas;USA;English;PG-13;Adventure;Family;Fantasy;180000000,0;70083519,0;0;2000;-109916481,0;-61,1;Moyen (6-7)
King Kong ;tt0360717;2005;201;7,2;316018;Peter Jackson;Naomi Watts;Thomas Kretschmann;Evan Parke;New Zealand;English;PG-13;Action;Adventure;Drama;207000000,0;218051260,0;0;2000;11051260,0;5,3;Bon (7-8)
Titanic ;tt0120338;1997;194;7,7;793059;James Cameron;Leonardo DiCaprio;Kate Winslet;Gloria Stuart;USA;English;PG-13;Drama;Romance;;200000000,0;658672302,0;26000;1990;458672302,0;229,3;Bon (7-8)
Captain America: Civil War ;tt3498820;2016;147;8,2;272670;Anthony Russo;Robert Downey Jr.;Scarlett Johansson;Chris Evans;USA;English;PG-13;Action;Adventure;Sci-Fi;250000000,0;407197282,0;72000;2010;157197282,0;62,9;Excellent (8+)
Battleship ;tt1440129;2012;131;5,9;202382;Peter Berg;Liam Neeson;Alexander Skarsgård;Tadanobu Asano;USA;English;PG-13;Action;Adventure;Sci-Fi;209000000,0;65173160,0;44000;2010;-143826840,0;-68,8;Faible (<6)
Jurassic World ;tt0369610;2015;124;7,0;418214;Colin Trevorrow;Bryce Dallas Howard;Judy Greer;Omar Sy;USA;English;PG-13;Action;Adventure;Sci-Fi;150000000,0;652177271,0;150000;2010;502177271,0;334,8;Bon (7-8)
Skyfall ;tt1074638;2012;143;7,8;522030;Sam Mendes;Albert Finney;Helen McCrory;Rory Kinnear;UK;English;PG-13;Action;Adventure;Thriller;200000000,0;304360277,0;80000;2010;104360277,0;52,2;Bon (7-8)
Spider-Man 2 ;tt0316654;2004;135;7,3;411164;Sam Raimi;J.K. Simmons;James Franco;Kirsten Dunst;USA;English;PG-13;Action;Adventure;Fantasy;200000000,0;373377893,0;0;2000;173377893,0;86,7;Bon (7-8)
Iron Man 3 ;tt1300854;2013;195;7,2;557489;Shane Black;Robert Downey Jr.;Jon Favreau;Don Cheadle;USA;English;PG-13;Action;Adventure;Sci-Fi;200000000,0;408992272,0;95000;2010;208992272,0;104,5;Bon (7-8)
Alice in Wonderland ;tt1014759;2010;108;6,5;306320;Tim Burton;Johnny Depp;Alan Rickman;Anne Hathaway;USA;English;PG;Adventure;Family;Fantasy;200000000,0;334185206,0;24000;2010;134185206,0;67,1;Moyen (6-7)
X-Men: The Last Stand ;tt0376994;2006;104;6,8;383427;Brett Ratner;Hugh Jackman;Kelsey Grammer;Daniel Cudmore;Canada;English;PG-13;Action;Adventure;Fantasy;210000000,0;234360014,0;0;2000;24360014,0;11,6;Moyen (6-7)
